Ticker,TickSize,ContractSize,MarginRequirement,TickValue
6B,0.0001,62500.0,2458.95,6.25
6C,5e-05,100000.0,1708.35,5.0
6E,5e-05,125000.0,3766.47,6.25
6J,5e-07,12500000.0,3595.04,6.25
6M,1e-05,500000.0,1667.73,5.0
6N,5e-05,100000.0,2011.42,5.0
6S,5e-05,125000.0,4787.52,6.25
CL,0.01,1000.0,16250.0,10.0
GC,0.01,100.0,17654.62,1.0
GF,0.00025,50000.0,9792.71,12.5
HE,0.00025,40000.0,4726.2,10.0
HG,0.0005,25000.0,9270.39,12.5
KE,0.0025,5000.0,3671.62,12.5
LE,0.00025,40000.0,4567.68,10.0
MES,0.25,5.0,1172.94,1.25
MNQ,0.25,2.0,2122.78,0.5
MYM,1.0,0.5,899.527,0.5
PL,0.1,50.0,5426.83,5.0
RB,0.0001,42000.0,22050.0,4.2
RTY,0.1,50.0,6511.66,5.0
SI,0.005,5000.0,23734.57,25.0
UB,0.03125,100000.0,7394.6,3125.0
ZC,0.0025,5000.0,2316.45,12.5
ZL,0.0001,60000.0,3080.97,6.0
ZM,0.1,100.0,3694.61,10.0
ZN,0.015625,100000.0,2515.32,1562.5
ZR,0.005,2000.0,4657.72,10.0
ZS,0.00125,1000.0,4198.64,1.25
ZW,0.0025,5000.0,3159.8,12.5
