Ticker,TickSize,TickValue,ContractSize,MarginRequirement,RolloverMonths
6B,0.0001,6.25,62500.0,2458.95,"Mar, Jun, Sep, Dec"
6C,0.00005,5.0,100000.0,1708.35,"Mar, Jun, Sep, Dec"
6E,0.00005,6.25,125000.0,3766.47,"Mar, Jun, Sep, Dec"
6J,0.0000005,6.25,12500000.0,3595.04,"Mar, Jun, Sep, Dec"
6M,0.00001,5.0,500000.0,1667.73,"Mar, Jun, Sep, Dec"
6N,0.00005,5.0,100000.0,2011.42,"Mar, Jun, Sep, Dec"
6S,0.00005,6.25,125000.0,4787.52,"Mar, Jun, Sep, Dec"
CL,0.01,10.0,1000.0,16250.0,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec"
GC,0.01,1.0,100.0,17654.62,"Feb, Apr, Jun, Aug, Oct, Dec"
GF,0.00025,12.5,50000.0,9792.71,"Jan, Mar, Apr, May, Aug, Sep, Oct, Nov"
HE,0.00025,10.0,40000.0,4726.2,"Feb, Apr, May, Jun, Jul, Aug, Oct, Dec"
HG,0.0005,12.5,25000.0,9270.39,"Mar, May, Jul, Sep, Dec"
KE,0.0025,12.5,5000.0,3671.62,"Mar, May, Jul, Sep, Dec"
LE,0.00025,10.0,40000.0,4567.68,"Feb, Apr, Jun, Aug, Oct, Dec"
MES,0.25,1.25,5.0,1172.94,"Mar, Jun, Sep, Dec"
MNQ,0.25,0.5,2.0,2122.78,"Mar, Jun, Sep, Dec"
MYM,1.0,0.5,0.5,899.527,"Mar, Jun, Sep, Dec"
PL,0.1,5.0,50.0,5426.83,"Jan, Apr, Jul, Oct"
RB,0.0001,4.2,42000.0,22050.0,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec"
RTY,0.1,5.0,50.0,6511.66,"Mar, Jun, Sep, Dec"
SI,0.005,25.0,5000.0,23734.57,"Mar, May, Jul, Sep, Dec"
UB,0.03125,3125.0,100000.0,7394.6,"Mar, Jun, Sep, Dec"
ZC,0.0025,12.5,5000.0,2316.45,"Mar, May, Jul, Sep, Dec"
ZL,0.0001,6.0,60000.0,3080.97,"Jan, Mar, May, Jul, Aug, Sep, Oct, Dec"
ZM,0.1,10.0,100.0,3694.61,"Jan, Mar, May, Jul, Aug, Sep, Oct, Dec"
ZN,0.015625,1562.5,100000.0,2515.32,"Mar, Jun, Sep, Dec"
ZR,0.005,10.0,2000.0,4657.72,"Jan, Mar, May, Jul, Sep, Nov"
ZS,0.00125,1.25,1000.0,4198.64,"Jan, Mar, May, Jul, Sep, Nov"
ZW,0.0025,12.5,5000.0,3159.8,"Mar, May, Jul, Sep, Dec"
