EntryDate,ExitDate,Asset,Direction,EntryPrice,ExitPrice,StopLoss,Target,PositionSize,Contracts,GrossPnL,TransactionCost,NetPnL
2010-07-01,2010-07-01,6B,Bearish,1.4957,1.50129077025,1.5005405,1.4811785,1.103448275862069,1.103448275862069,-385.57036206896464,7.724137931034482,-393.2944999999991
2010-08-11,2010-08-11,6B,Bearish,1.5814,1.5710951549999999,1.58483,1.5703099999999999,1.1379310344827587,1.1379310344827587,732.8876831896596,7.9655172413793105,724.9221659482803
2010-08-12,2010-08-12,6B,Bearish,1.5637,1.5684598379999999,1.567676,1.552172,1.1724137931034482,1.1724137931034482,-348.7812327586056,8.206896551724137,-356.9881293103297
2010-09-09,2010-09-09,6B,Bullish,1.5472,1.54276823,1.54354,1.55818,1.1724137931034482,1.1724137931034482,-324.7417672413672,8.206896551724137,-332.9486637930913
2010-09-15,2010-09-15,6B,Bullish,1.553,1.56111905,1.549452,1.5619,1.1724137931034482,1.1724137931034482,594.9303879310437,8.206896551724137,586.7234913793195
2010-09-23,2010-09-23,6B,Bullish,1.5633,1.5713139500000002,1.5598489999999998,1.5721,1.1379310344827587,1.1379310344827587,569.957650862088,7.9655172413793105,561.9921336207087
2010-09-29,2010-09-29,6B,Bullish,1.5799,1.575387912,1.576176,1.5888,1.1724137931034482,1.1724137931034482,-330.6271379310363,8.206896551724137,-338.83403448276044
2010-10-01,2010-10-01,6B,Bullish,1.5724,1.5834618730000003,1.568582,1.5842540000000003,1.1724137931034482,1.1724137931034482,810.5682801724341,8.206896551724137,802.36138362071
2010-10-13,2010-10-13,6B,Bullish,1.5797,1.5899961042500002,1.5758694999999998,1.5907915000000001,1.1379310344827587,1.1379310344827587,732.2660350215552,7.9655172413793105,724.3005177801759
2010-10-20,2010-10-20,6B,Bullish,1.565,1.5756687715000002,1.561181,1.576457,1.1379310344827587,1.1379310344827587,758.7703868534645,7.9655172413793105,750.8048696120852
2010-10-27,2010-10-27,6B,Bullish,1.5835,1.57874873075,1.5795385,1.5953844999999998,1.1379310344827587,1.1379310344827587,-337.91354579739965,7.9655172413793105,-345.87906303877895
2010-12-02,2010-12-02,6B,Bearish,1.5611,1.5656524349999998,1.56487,1.5493899999999998,1.0,1.0,-284.5271874999944,7.0,-291.5271874999944
2010-12-03,2010-12-03,6B,Bearish,1.5588,1.5636594389999998,1.562878,1.5483,1.0,1.0,-303.71493749999087,7.0,-310.71493749999087
2011-01-05,2011-01-05,6B,Bullish,1.559,1.5544413905,1.555219,1.569943,1.0,1.0,-284.9130937499916,7.0,-291.9130937499916
2011-01-06,2011-01-06,6B,Bullish,1.5502,1.5456332967500002,1.5464065,1.5615805,1.0,1.0,-285.4189531249912,7.0,-292.4189531249912
2011-01-09,2011-01-10,6B,Bullish,1.5526,1.5487227512500004,1.5494975000000002,1.5659074999999998,1.0,1.0,-242.32804687497608,7.0,-249.32804687497608
2011-01-19,2011-01-20,6B,Bullish,1.5953,1.59063578425,1.5914314999999999,1.6054,1.0,1.0,-291.51348437499166,7.0,-298.51348437499166
2011-01-21,2011-01-25,6B,Bullish,1.5902,1.5852060005000002,1.5859990000000002,1.6024029999999998,1.0,1.0,-312.12496874999385,7.0,-319.12496874999385
2011-01-26,2011-01-26,6B,Bullish,1.5813,1.59122648875,1.5775925,1.5920225,1.0,1.0,620.405546875008,7.0,613.405546875008
2011-02-16,2011-02-16,6B,Bullish,1.6131,1.608903146,1.609708,1.6236760000000001,1.0,1.0,-262.3033749999948,7.0,-269.3033749999948
2011-02-17,2011-02-18,6B,Bullish,1.6089,1.6192589654999998,1.605177,1.6200689999999998,1.0,1.0,647.4353437499885,7.0,640.4353437499885
2011-03-16,2011-03-16,6B,Bullish,1.6055,1.6017457265000001,1.602547,1.6151589999999998,1.0,1.0,-234.6420937499871,7.0,-241.6420937499871
2011-03-25,2011-03-25,6B,Bullish,1.6103,1.6060160902500002,1.6068195,1.6211415,1.0,1.0,-267.7443593749884,7.0,-274.7443593749884
2011-04-01,2011-04-01,6B,Bullish,1.6007,1.6109011464999998,1.597031,1.6117069999999998,1.0,1.0,637.5716562499883,7.0,630.5716562499883
2011-04-03,2011-04-05,6B,Bullish,1.6097,1.6195308295,1.605353,1.6203409999999998,1.0,1.0,614.4268437500016,7.0,607.4268437500016
2011-04-06,2011-04-06,6B,Bullish,1.629,1.6245518177500002,1.6253645,1.6385,1.0,1.0,-278.0113906249853,7.0,-285.0113906249853
2011-04-13,2011-04-14,6B,Bullish,1.6248,1.6335533147500003,1.6214765,1.6343705000000002,1.0,1.0,547.0821718750185,7.0,540.0821718750185
2011-04-19,2011-04-19,6B,Bullish,1.6255,1.6216277805000001,1.622439,1.634283,1.0,1.0,-242.01371874998932,7.0,-249.01371874998932
2011-05-04,2011-05-04,6B,Bullish,1.6478,1.64380618575,1.6446284999999998,1.6577145000000002,1.0,1.0,-249.6133906250003,7.0,-256.6133906250003
2011-05-06,2011-05-06,6B,Bullish,1.6394,1.6350030895,1.635821,1.650137,1.0,1.0,-274.80690624999414,7.0,-281.80690624999414
2011-05-08,2011-05-09,6B,Bullish,1.6369,1.631493845,1.63231,1.6470699999999998,1.0,1.0,-337.884687499998,7.0,-344.884687499998
2011-05-12,2011-05-12,6B,Bullish,1.6361,1.6315877980000002,1.6324040000000002,1.6471879999999999,1.0,1.0,-282.01262499999433,7.0,-289.01262499999433
